from_user,text,created_at
a_amrou1,https://t.co/QdMhhLNd تصريح جديد للخارجية الامريكية عن جنسية والده #ابو_اسماعيل #مسخرة #Egypt #فضيحة #حازمون,16/04/2012 21:01
AhmedMaherGad,RT @ahmedhanafylawy: برنامج علي قناه الرحمه يتبرأ من #ابو_اسماعيل ويدعو كل الشيوخ لان يخرجو يقولو كلمه الحق ولا يخافو من اتباع ابو اسماعين,16/04/2012 20:54
Najm_D,#ابو_اسماعيل 4- مستند غير محدد إسم الدولة التي أصدرته و يزعمون من عند أنفسهم أنه مستند أمريكي,16/04/2012 20:54
khaledd_h,بالنسبة ل #ابو_اسماعيل هو كله نفى نفى مفيش اثبات ؟؟,16/04/2012 20:54
MZedan,RT @Ell1988: #ابو_اسماعيل  #حازمون جاهلون وللحقيقة عارفون.. وعاملين فيها مستعبطون. #egypt #tahrir,16/04/2012 20:52
merezaii,عندما يتحول حلم الحصول على جواز السفر الامريكي الى كابوس #ابو_اسماعيل - الإنتخابات المصرية ام الاجنبي,16/04/2012 20:52
akramK_,#ابو_اسماعيل أغيثونا ياأهل القانون: 1- مستند ليس مختوما بأي ختم و يقولون عنه مستند رسمي 2- مستند ليس موقع و يقولون عنه مستند !!!,16/04/2012 20:52
adelz90,حسبي الله ونعم الوكيل المسلم من سلم المسلمون من لسانه ويده #egypt #tahrir #ابو_اسماعيل,16/04/2012 20:50
Muns707,اه حكاية المستندات اللي #ابو_اسماعيل ناشرها دي ؟ #Egypt,16/04/2012 20:50
m5edr,"@ahmed3zat: هتاف السلفيين دلوقت قدام اللجنة  قال بيقولوا أمريكية ايا ايا اوه ..اه ياشوية حرامية ايا ايا اوه #ابو_اسماعيل #حازمون_اتجننوا""",16/04/2012 20:50
MBashta,"هتاف السلفيين دلوقت قدام اللجنة "" قال بيقولوا أمريكية ايا ايا اوه ..اه ياشوية حرامية ايا ايا اوه #ابو_اسماعيل #حازمون_اتجننوا",16/04/2012 20:50
manoushatarek,اخبار حازم صلاح ابو اسماعيل : أنصار ابو إسماعيل يعتصمون أمام الرئاسية: http://t.co/JY6QfdlZ\nصباح البلطجة #ابو_اسماعيل,16/04/2012 20:49
Danosediq,كلمة لحازمون الحازقون : اللى يعرف ربنا لو ابوه عصى ربنا ما يقولش عشان ابويا لازم ادارى عليه #حازمون شوية عقل وضمير بقى بلاش قرف #ابو_اسماعيل,16/04/2012 20:49
2_eman,طب ممكن يسجلوها حلقات ويذيعوها في رمضان بعد الفطار\n#ابو_اسماعيل #حازمون #كاذبون,16/04/2012 20:48
FlyingRamy,#ابو_اسماعيل وأولاده عملولي صداع في دماغي,16/04/2012 20:48
shahendahassan,لسوف نفتقد #ابو_اسماعيل بعد انتخابات الرئاسه مثلما افتقدنا خطابات القذافي\n#حازمون #كاذبون,16/04/2012 20:48
Adham96_AShraF,#ابو_اسماعيل  #حازمون جاهلون وللحقيقة عارفون.. وعاملين فيها مستعبطون. #egypt #tahrir,16/04/2012 20:47
K_FMY,#ابو_اسماعيل زودها !,16/04/2012 20:47
ibrahimabdeen,أنا أو الختم\n\n#ابو_اسماعيل #حازمون #كاذبون,16/04/2012 20:47
ahmadwtaha,#ابو_اسماعيل الكداب بيروح النار وانت بتكدب ليل ونهار,16/04/2012 20:46
elshe57osny,"#ابو_اسماعيل يتهرب من هيئة شورى العلماء لرفضه القسم على جنسية والدته كلام فاضي وغلط الخبر موجود ع موقع اليوم السابع,الموقع معدومة مصداقيته",16/04/2012 20:46
EsraaAwaysheh,اخبار مصر سنة 2050 : استمرار الجدل حول جنسية والدة حازم #ابو_اسماعيل .,16/04/2012 20:45
sarasamer19,علي فكره ... في العتبه في ناس كتير بيعملوا اختام واشهرها ختم النسر الأمريكي .. تحب اشتريلك واحد؟\n#ابو_اسماعيل #حازمون #كاذبون,16/04/2012 20:44
AlaaNazir,طب لما حازم و انصاره كده صادقين ما يطلعوا هما الورق يطلعوا حتى الجرين كارد ؟؟ #ابو_اسماعيل,16/04/2012 20:43
DesignerAhmed,#ابو_اسماعيل ده حكايه ناقص يطلع يقول اثبت ان انا مش انا #اللمبي_ستايل,16/04/2012 20:43
kafroz,ختم ايه يا #ابو_اسماعيل .. انت فاكر نفسك بتخاطب مكتب سجل مدني بولاق الدكرور \n#حازمون #كاذبون,16/04/2012 20:43
MustafaMakram,والنعمه لوبكره طلع حازم الجرين كارت بتاع والدته قبل مايتقبل طلبها للجنسيه لاكون اول مرشحيه ومجانينه وامشي اقول حي حازم جي #مصر #ابو_اسماعيل,16/04/2012 20:41
ebnrashed,حازم\nأبو إسماعيل يتهرب من هيئة شورى العلماء لرفضه القسم على جنسية والدته #ابو_اسماعيل,16/04/2012 20:40
