,from_user,text,created_at
2010,ahmedelmawardy,  رصد  كلمه الشيخ حازم صلاح ابو اسماعيل من امام لجنه الانتخابات الرئاسيه بعد  ,17/04/2012 19:01
2011,LamiisWaleed,عاوزه اشوف هلس ع التايم لاين  عاوزه مسخره   عاوزه اااااااي حاجه غير موضوع ابو اسماعيل او خيرت ومرسي ,17/04/2012 19:01
2012,Amr_Ali_,مجلس شوري العماء  هو مين مجلسهم  صفتهم ايه  هو ايه علمهم اصلا  ده خريج اعلام  حسان و خريج معهد يعقوب عالم ازاي ابو اسماعيل,17/04/2012 19:02
2013,MohammedBtaran,تخيلوا لو ابو اسماعيل اصبح رئيس وبعدين قررنا نعارضه ابو اسماعيل,17/04/2012 19:02
2014,Nsa2m333,   ولا كنت حتعمل ايه لو مسكت البلد وبقيت رئيس فى اللى حيعارضك لا يقف قدامك ابو اسماعيل,17/04/2012 19:02
2015,Obhii,   امال كنت حتعمل ايه لو اترشحت و خسرت فى الانتخابات كان انصارك حيعملوا ايه فى المرشح اللى كسب ابو اسماعيل,17/04/2012 19:02
2016,ahmedgad83,لا يا شيخ طب وبعد الاعتصام ابو اسماعيل,17/04/2012 19:02
2017,Essamraffat,  الى ابو اسماعيل و انصاره استقتالك على السلطه و تعريضك لانصارك وللبلد لخطر ولفتنه لمجرد انك اترفضت فى الترشح ابو اسماعيل,17/04/2012 19:02
2018,AbdulahAlNadeem,انتحار صاحب مطبعه بوسترات ابو اسماعيل بعد سماعه خروج ابو اسماعيل من السباق الرئاسي الش هع حازمون موتوا لوحدكم,17/04/2012 19:03
2019,KhaledEssamZaki,سوال للشيخ حازم  قوللى بامانه و مش هضحك ولا هقول لحدانت عيطت    ابو اسماعيل,17/04/2012 19:03
2020,masraweeawee,يا حازمون عمل ايه ابو اسماعيل عشان تبايعوه بالدم و تعتصموا و كده ايه اهم انجازاته ,17/04/2012 19:03
2021,18_8_2008_Rana,   للاسف الشديد لو نعلم ان الشيخ مظلوم لما ترددنا عن نصرته  ساصبر على سبابكم  ولتعلمن نبآه بعد حين  ابو اسماعيل,17/04/2012 19:03
2022,Kerolos_Philip,لما دول علماء  دكاتره الازهر ايه عالم فرنساوي لغايه ما يجيبوا عالم فرنساوي ابو اسماعيل,17/04/2012 19:03
2023,AdelAlhadidy,لو ابو اسماعيل عايزالناس تسامحو على الكدب و الفتن يا ريت يكمل ميزانيه البوسترز في اصلاح مصر بجد و ينسى الكرسي اللي مش هيطوله ابدا,17/04/2012 19:04
2024,Youri2525,   احنا عايزين رئيس مش عايزين فرعون جديد و له اتباع يجيشها ضد الشعب وقت ما يحب ابو اسماعيل,17/04/2012 19:04
2025,alaa_aldeen_ali,اقامه منصه كبيره لانصار الشيخ حازم صلاح ابو اسماعيل امام اللجنه العليا للانتخابات  مصر,17/04/2012 19:04
2026,dr_salata,كالعاده ابو اسماعيل دعا للاعتصام و روح هو ههههههههههههه مسخره والمصحف ,17/04/2012 19:06
2027,MonaMagdiEdine,بحبك ياحازم بحبك يامان  ويوم ما استبعدوك محسيتش بالاامان  تعالي اعتصم معانا وهاتلنا لبان  بحبك ياحازم بحبك يامان حازمون ابو اسماعيل,17/04/2012 19:05
2028,awnimohamed,ابو اسماعيل العبيط اهه اهه اهه ,17/04/2012 19:07
2029,m7mdsliman,ثمه خلاف بين مجلس شوري العلماء و حازم  لم تتضح معالمه بعد ابو اسماعيل حازمون,17/04/2012 19:06
2030,ReeeMo0o4,نادر بكار  المتحدث باسم حزب النور بيقول كلام مهم جدا علي حسابه عن قضيه ابو اسماعيل  لو نعلم انه مظلوم ما ترددنا في نصرته,17/04/2012 19:08
2031,MagedSallam,بكتب دلوقتي توبيك عشان احطه علي البلوج بتعتي بعنوان بوستر ابو اسماعيل يحكي قصته,17/04/2012 19:08
2032,AhmedYasin31,الصفحه الرسميه لمقاطعى الانتخابات الرئاسيه       ابو اسماعيل حازمون,17/04/2012 19:08
2033,minafekry,  سوال للشيخ حازم  قوللى بامانه و مش هضحك ولا هقول لحدانت عيطت    ابو اسماعيل,17/04/2012 19:07
2034,Noorstan,ولاد ابواسماعين ماسابوش لولاد الحلال حاجه  مصر ابو اسماعيل حازمون يخربيت امكم,17/04/2012 19:09
2035,yasseralgamal,  ياجماعه احنا نجوز ابو اسماعيل هنومه يمكن اعصابه تهدي ,17/04/2012 19:08
2036,Rouzdarc,انصار ابو اسماعيل اقسم بالله انتم تخلقون منه صنم يعبد عليكم ان تعلموا ان الرجل بشر وماتفعلونه كان سيجعل منه فرعون لو كان قد حكم ابو اسماعيل,17/04/2012 19:08
2037,SarahGadalla,حد يقول لولاد ابو اسماعيل اللى معتصمين يا جماعه فيه عجله انتاج مفسيه ميصحش كده ,17/04/2012 19:09
2038,RanaRadi,انا مش شمتان فى حد بس القافيه تحكم و انا مبمسكش نفسى  ابو اسماعيل,17/04/2012 19:09
2039,mu7mad_karam,هل يرضى شباب الثوره والشعب المصري تدنيس الامركان للسياده المصريه  حازمون ابو اسماعيل,17/04/2012 19:09
2040,KariemLenin,قالت الصناديق للخازوق نعم ابو اسماعيل ابواسماعيل ,17/04/2012 19:10
2041,mshkokogirl,الحازمون بيهتفوا ابو اسماعيل هو الخط الاحمر هااااااااااار اسود,17/04/2012 19:11
2042,hfakhry,الهتاف الان اما العليا للرئاسه يا حازم ادينا اشاره واحنا نجيب طنطاوي في شكاره ايه ده هما ماخدوش بالهم ان ابو اسماعيل سابهم وخلع ,17/04/2012 19:11
2043,N0HAAAA,  مصر يا ابو اسماعيل مايحكمهاش كداب وامه امريكيه  ده انت عميل امريكاني ,17/04/2012 19:11
2044,MarWaKil,مصر يا ابو اسماعيل مايحكمهاش كداب وامه امريكيه  ده انت عميل امريكاني ,17/04/2012 19:10
2045,gogo14158,رصد  كلمه الشيخ حازم صلاح ابو اسماعيل من امام لجنه الانتخابات الرئاسيه بعد اس ,17/04/2012 19:10
2046,Khaled__Dido,الاتنين نصابين  حسان و ابو سماعين   ابو اسماعيل,17/04/2012 19:10
2047,El_Assiuty,هو فين اسماعيل فى ولاد ابو اسماعيل ابو اسماعيل مرشحي الرئاسه مصر,17/04/2012 19:10
2048,alkaid_2000,انتحار صاحب مطبعه بوسترات ابو اسماعيل للمره الرابعه علي التوالي  لازم حازم حازمون  حازم اتجنن,17/04/2012 19:12
2049,Mhmd_Salah96,ابو اسماعيل اتفكس و بيدعو الاعتصام و هو غادرمصر    ابو اسماعيل حازمون  ,17/04/2012 19:11
2050,elrefayee,يوم ما شفت الدعايه الكتيير للشيخ حازم وانه بدا بدرى قوى حسيت ان فيه حاجه غلط وراه  الحمد لله ظنى مخدعنيش حازمون ابواسماعيل ابو اسماعيل,17/04/2012 19:13
2051,Amrhegazyy,حازم ابو اسماعيل بيحتذي بقول مبارك انا او الفوضى و بيستغل ثقه المويدين العمياء ليه ,17/04/2012 19:13
2052,SherifTawila, نادر بكار  المتحدث باسم النور بيقول كلام مهم جدا علي حسابه عن ابو اسماعيللو نعلم انه مظلوم ما ترددنا في نصرته,17/04/2012 19:12
2053,AquamarineUwk,عند لجنه الانتخابات الرئاسيه حازمون حازقونمصممونمنحازونعصبيونمعتصمونمع ابو اسماعيل مصر,17/04/2012 19:12
2054,ghazaalsharid,انصار ابو اسماعيل ظلموا البرادعي كتير وافترقا عليه وشوهوا صوره رجل محترم جدا نظرته اعمق م نظره كثيرين منهم لا ياخذون الا بالمظاهر الخادعه,17/04/2012 19:14
2055,mmekiwi,احب اقول لانصار ابو اسماعيل بتوع نعم لاستفتاء الدستور من اجل الاستقرار ياريت تمشوا من عند اللجنه العليا علشان عايزين استقرار,17/04/2012 19:15
2056,_D_I_N_A__,    نادر بكار  المتحدث باسم النور بيقول كلام مهم جدا علي حسابه عن ابو اسماعيللو نعلم انه مظلوم ما ترددنا في نصرته,17/04/2012 19:15
2057,MohamedIF,ما يجري الآن في الصف الاسلامي هو صراع بين سلفيه آل سعود وبين سلفيه ما انا عليه انا واصحابي حازم ابو اسماعيل حازمون سلفي,17/04/2012 19:14
2058,Ahmad_Mo5tar,ابو اسماعيل ده شخصيه رهيبهانا عندي ذهول من قدرته على خداع ملايين المغيبيين والجهله بالشكل الرهيب دهده شخص خطير جدا ابو اسماعيل,17/04/2012 19:14
2059,Seifovich,تخيلوا لو ابو اسماعيل اصبح رئيس وبعدين قررنا نعارضه ابو اسماعيل,17/04/2012 19:14
